,X,Y,simul_2008_etat_initial_loyer,simul_2008_etat_initial_logement,simul_2008_etat_initial_taille,simul_2008_etat_initial_emissions,simul_2030_sc1_BAU_loyer,simul_2030_sc1_BAU_logement,simul_2030_sc1_BAU_taille,simul_2030_sc1_BAU_emissions,simul_2030_sc3_ZI_loyer,simul_2030_sc3_ZI_logement,simul_2030_sc3_ZI_taille,simul_2030_sc3_ZI_emissions,simul_2030_sc4_CV_loyer,simul_2030_sc4_CV_logement,simul_2030_sc4_CV_taille,simul_2030_sc4_CV_emissions,simul_2030_sc2_TU_loyer,simul_2030_sc2_TU_logement,simul_2030_sc2_TU_taille,simul_2030_sc2_TU_emissions,simul_2030_sc5_mix_loyer,simul_2030_sc5_mix_logement,simul_2030_sc5_mix_taille,simul_2030_sc5_mix_emissions,coeff_land,part_inond,distance_centre
0,613250.0,6902850.0,120.133214384995,0.0,95.62631255835171,6527158.45448692,210.380313018388,523.080609754263,98.09768300934928,7389100.85931842,210.479904818801,579.510286794706,98.05126658363109,7389100.85931842,212.747671117861,0.0,97.00609717346,7389100.85931842,208.701413635467,0.0,97.6658020017038,6642875.52464868,208.701413635467,0.0,97.7166361508539,6642875.52464868,0.62,0.0,57.27564927611035
1,613250.0,6901850.0,120.133214384995,0.0,95.80665638158881,6343975.9367902,211.128447129511,1007.17261961854,97.8542269291115,7231909.80448119,211.228393088647,1082.08440748615,97.8079256983777,7231909.80448119,213.504223798774,0.0,96.7653501603551,7231909.80448119,208.701413635467,0.0,97.8055134375423,6438711.7803267,208.701413635467,0.0,97.85634758669241,6438711.7803267,0.5579999999999999,0.0,56.572961739686214
2,613250.0,6900850.0,120.133214384995,0.0,95.9861799843368,6181116.4716324005,211.90076421844898,1645.93418959177,97.60443494698922,7086674.99110269,212.00107578427298,1738.79457045962,97.5582519091691,7086674.99110269,214.28523158262402,0.0,96.51833774836359,7086674.99110269,208.701413635467,0.0,97.94806984927521,6254742.5999314,208.701413635467,0.0,97.99890399842519,6254742.5999314,0.496,0.0,55.87933428379404
3,613250.0,6899850.0,120.133214384995,0.0,96.1610086365321,6043739.80207512,212.696564707451,2442.96436026876,97.3486615444759,6957866.92086968,212.797252996755,2553.49135363727,97.30259952977042,6957866.92086968,215.089987019483,0.0,96.2654104744724,6957866.92086968,208.701413635467,0.0,98.0894724080244,6097333.6792964,208.701413635467,0.0,98.1403065571745,6097333.6792964,0.62,0.0,55.19510847892229
4,613250.0,6898850.0,120.133214384995,0.0,96.32717982571579,5936496.80518393,213.51281415598498,3399.7884555307396,97.0880003591132,6849722.18468915,213.613888849087,3527.7938904911402,97.042061680252,6849722.18468915,215.915421523003,0.0,96.0076498067284,6849722.18468915,208.701413635467,0.0,98.22530427092221,5972275.39660377,209.155372695344,0.0,98.06283601798549,5972275.39660377,0.62,0.0,54.52063829413592
5,613250.0,6897850.0,120.133214384995,0.0,96.4814400133872,5862993.17449753,214.34582325821398,4515.80804624992,96.8237279399892,6765642.32771095,214.447292288956,4661.13612729493,96.77791430568291,6765642.32771095,216.757804272494,0.0,95.746318089369,6765642.32771095,208.701413635467,0.0,98.35164914935758,5884128.02916329,210.05302593349302,0.0,97.76930029154629,5884128.02916329,0.62,0.05,53.85629025471398
6,613250.0,6896850.0,120.133214384995,0.0,96.62207623184591,5825244.50414354,215.19329830833198,5790.81263094699,96.55665189703609,6707578.68809246,215.29516852473998,0.0,96.5109646338624,6707578.68809246,217.61481575163998,0.0,95.4822139456151,6707578.68809246,208.701413635467,0.0,98.4660995699839,5835579.83396619,210.868496396214,0.0,97.50448116053921,5835579.83396619,0.6138,0.26262626262626304,53.2024435529046
7,613250.0,6895850.0,120.133214384995,0.0,96.74950848560059,5823228.23020166,216.055744913199,7228.46344566742,96.2866871536663,6675564.35563433,216.158023402649,7408.1454899663795,96.2411276284582,6675564.35563433,218.486967256772,0.0,95.21525324557248,6675564.35563433,208.701413635467,0.0,98.56853215741421,5826931.44465775,211.600215582258,0.0,97.26833738510142,5826931.44465775,0.589,0.2,52.55949010407159
8,613250.0,6894850.0,120.133214384995,0.0,96.86636858368391,5854657.20084378,216.93622441508302,8837.98845640215,96.0129610325757,6667558.83027139,217.038919714155,9034.87999727149,95.9675310250868,6667558.83027139,219.37735457869,0.0,94.9445730226879,6667558.83027139,209.303998913434,84.6148468067258,98.3772720666349,5855834.89185404,212.264553341959,0.0,97.0551384118416,5855834.89185404,0.62,0.00999999999999997,51.92783453986888
9,613250.0,6893850.0,120.133214384995,0.0,96.9769367039,5915077.3576408,217.838173431418,10631.6286804813,95.7345117947145,6679699.73548761,217.94129570355202,10845.8871478473,95.6892135397602,6679699.73548761,220.289453006244,0.0,94.6692222397008,6679699.73548761,209.92320204660197,297.292752946405,98.17405607742849,5917394.88525522,212.89219123576802,0.0,96.85475662012959,5917394.88525522,0.62,0.00999999999999997,51.30789412946121
10,613250.0,6892850.0,120.133214384995,0.0,97.0860577917548,5998320.77637054,218.762081790543,12617.474976842299,95.45130807086642,6706924.45315205,218.865641431058,12849.2930779893,95.40614381810471,6706924.45315205,221.22375787968897,0.0,94.38916987645719,6706924.45315205,210.542468392132,616.246496319189,97.9718359625421,6004672.56763664,213.519892536137,0.0,96.6553565109153,6004672.56763664,0.62,0.0,50.70009861923347
